№,Объект,router,olt,switch,controller,кол-во AP,AP-IP,UpLink,Адрес,Комментарии,zbx,owfV2,6hhz,,,,,,
1,02-ALM-OWF-EssentaiRiver,10.40.68.1,10.40.220.201,,,,,,,"admin
ZTEzte!123",+,1,,,,,,,
2,02-ALM-OWF-Terrenkur,10.40.66.1 10.40.220.203,,10.40.66.2; 10.40.66.3; 10.40.66.4; 10.40.66.5(SW4_309); 10.40.66.6; 10.40.66.7; 10.40.66.8; 10.40.66.9; 10.40.66.101(sw9); 10.40.66.151(sw10); 10.40.66.146(sw11) 10.40.66.147(sw12); 10.40.66.149(sw13); 10.40.66.153(sw14); 10.40.66.154(sw15); 10.40.66.155(sw16); 10.40.66.132(sw17);  10.40.66.133(sw18); 10.40.66.135(sw19);,10.40.66.10,58,,,,,+,,,,,,,,
3,02-ALM-OWF-Policlinika-36,10.41.148.49,,10.41.3.190,,8,,BS93_SW,,,+,,,,,,,,
4,02-ALM-OWF-EsentaiSquare,10.40.63.1,,10.40.63.4,https://cloud-a1.ruijienetworks.com/,3,,,,,+,,,,,,,,
5,02-ALM-B2B-ClubT,10.40.67.1,,10.40.67.100 Huawei/Adicom2023@,10.40.67.10 / ddma12345,5,,,,,+,,,,,,,,
6,02-ALM-OWF-CentralStadium,10.40.65.1 10.40.65.254,,10.40.65.2 10.40.65.3 10.40.65.4 10.40.65.5 10.40.65.6 10.40.65.7 10.40.65.8 10.40.65.9,10.40.65.10,135,,02-ALM-US30-SW-001,,Lp38E7nd   switch password,+,,,,,,,,
7,02-ALM-OWF-Almaty100WiFi,10.40.150.1,,"1. 10.40.150.2 - OWF-004                 2. 10.40.150.3 - OWF-002
3. 10.40.150.4 - OWF-003                 4. 10.40.150.5 - OWF-001
5. 10.40.150.6 - OWF-005
6. 10.40.150.7- OWF-010
7. 10.40.150.8 - OWF-006
8. 10.40.150.9 - OWF-007
9. 10.40.150.10 - OWF-009
10. 10.40.150.11 - OWF-008
11. 10.40.150.12 - OWF-011
12. 10.40.150.13 - OWF-015
13. 10.40.150.14 - OWF-012-14      10. 10.40.150.15 - OWF-026-27
15. 10.40.150.16 - OWF-016-17
16. 10.40.150.17 - OWF-018-19
17. 10.40.150.18 - OWF-020-21
18. 10.40.150.19 - OWF-022-23
19. 10.40.150.20 - OWF-024
20. 10.40.150.21 - OWF-025
21. 10.40.150.22 - OWF-028-29
22. 10.40.150.23 - OWF-030-31      23. 10.40.150.24 - OWF-032-33
24. 10.40.150.25 - OWF-034-35      25. 10.40.150.26 - OWF-036-37      26. 10.40.150.27 - OWF-038-40      27. 10.40.150.28 - OWF-041-42      28. 10.40.150.29 - OWF-043-44      29. 10.40.150.30 - OWF-045-48      30. 10.40.150.31 - OWF-049-50      31. 10.40.150.32 - OWF-051           32. 10.40.150.33 - OWF-052           33. 10.40.150.34 - OWF-053            34. 10.40.150.35 - OWF-054           35. 10.40.150.36 - OWF-055-56      36. 10.40.150.37 - OWF-057           37. 10.40.150.38 - OWF-058             38. 10.40.150.39 - OWF-059           39. 10.40.150.40 - OWF-060            40. 10.40.150.41 - OWF-061-63      41. 10.40.150.42 - OWF-064-65       42. 10.40.150.43 - OWF-066-67        43. 10.40.150.44 - OWF-068-69          44. 10.40.150.45 - link to p21(ovn322)          45. 10.40.150.46 - OWF-070-71       46. 10.40.150.47 - OWF-072-074       47. 10.40.150.48 - OWF-075-77       48. 10.40.150.49 - OWF-078-79      49. 10.40.150.50 - OWF-80-81        50. 10.40.150.51 - OWF-82-83",,116,,1. BS27_SW                                  2. BS53_SW                                  3. BS35_SW                                    4. BS34_SW                                   5. BS80_SW                                         6. BS27_SW                                   7. BS42_SW                     8.BS54_SW                                   9. BS34_SW                                10. BS30_SW                                11. BS42_SW                               12. BS6_SW                                13. BS7_SW                                 14. BS93k1_SW                           15. BS10K1_SW                          16. BS10K1_SW                           17. BS93k1_SW                           18. BS93k1_SW                 19.BS93k1_SW                             20. BS93k1_SW                            21. BS93k1_SW                           22. BS93k1_SW                           23. BS10k1_SW                           24. BS10k1_SW                           25. BS10k1_SW                           26. BS123_SW                             27. BS10_SW                               28. BS10_SW                              29. BS11_SW                               30. BS10_SW                              31. BS12_SW                              32. BS12_SW                              33. BS12_SW                              34. BS12_SW                              35. BS137_SW                              36. BS10_SW                              37. BS06_SW                              38. BS06_SW                              39. BS06_SW                              40. BS12k1_SW                                41. BS43_SW                              42. BS14_SW                                 43. BS14_SW                                 44. BS74_SW                                45. ovn322                                          46. p21                                              47. BS127k1                                      48. BS73_SW                                49. BS7_SW                                   50. BS124_SW,,,+,,,,,,,,
8,02-ALM-OWF-Al-Farabi,10.40.63.1,,10.40.63.2 10.40.63.3 10.40.63.4 10.40.63.5,10.40.63.10,73,,,,,+,,,,,,,,
9,02-ALM-OWF-Airport,10.41.144.3,12,,,,,02-ALM-US84K1-SW-001,,,+,,,,,,,,
10,02-ALM-OWF-GATOB,10.41.148.54,,10.41.148.55 10.41.148.56 10.41.148.63 10.41.148.64,,41,,,,,+,,,,,,,,
