№,Объект,Адрес роутера 4011,Адреса свитчей,Кол-о АР,,,
,Controller 1 Unify,,,,,,
,Controller 2 Ruije,,,,,,
,Школа №10 имени Аль-Фараби,10.5.130.146,10.5.130.147 10.5.130.148 10.5.130.149 10.5.130.150 10.5.130.151,18,Нет хотспота,,
,Средняя школа №5 им. А. Жубанова с дошкольным мини-центром,10.5.130.130,10.5.130.131 10.5.130.132,13,недоступен,,
,Областной департамент полиции (г.Конаев),10.5.130.114,-,0,Нет хотспота,,
,Областной сборный пункт Алматинской области ,10.5.130.162,10.5.130.163,4,Нет хотспота,,
,Comfort ​Зона отдыха,10.5.130.170,10.5.130.171 10.5.130.172,8,1,+,
,MORELUX ​Комплекс,10.5.130.178,10.5.130.179 10.5.130.180 10.5.130.181 10.5.130.182,6,1,+,
,Пятница зона отдыха,10.5.133.74,10.5.133.75 10.5.133.76,6,1,+,Проверить owf капсманом
,Jellyfish ​Детский оздоровительный лагерь,10.5.130.186,10.5.130.187 10.5.130.188,8,1,+,
,Белый парус ​База отдыха,10.5.130.194,10.5.130.195 10.5.130.196,6,1,+,
,Samruk House Kapchagay ​База отдыха,10.5.130.202,10.5.130.203,3,1,+,
,Green Spa ​База отдыха,10.5.130.210,10.5.130.211,2,1,+,
,"База отдыха ""Пляжный волейбол"" ",10.5.130.218,10.5.130.219,6,1,+,
,Агро Фут Капшагай условия по договору ус2,10.5.130.226,10.5.130.227,4,+,,
,Boat station,10.5.130.18,10.5.130.19,6,1,+,
,Test Billing,,,,,,
,Акдидар ​Детский сад,10.5.130.234,10.5.130.235 10.5.130.236,7,недоступен,,
,Центр занятости населения г. Конаев ,10.5.130.242,10.5.130.243,5,+,,
,Средняя школа-гимназия с дошкольным мини-центром,10.5.131.2,10.5.131.3 10.5.131.4 10.5.131.5 10.5.131.6 10.5.131.7 10.5.131.8,28,Нет хотспота,,
,Малыш частный детский сад,10.5.130.250,10.5.130.251,6,Нет хотспота,,
,Каусар ​Школа-интернат,10.5.131.18,10.5.131.19 10.5.131.20,8,Нет хотспота,,
,Средняя общеобразовательная школа №1 им. Д.А. Кунаева,10.5.131.26,10.5.131.27-30,16,Нет хотспота,,
,Капшагайский многопрофильный колледж,10.5.131.34,10.5.131.35 10.5.131.36 10.5.131.37,18,Нет хотспота,,
,Школа №2,10.5.131.42,10.5.131.43 10.5.131.44 10.5.131.45 10.5.131.46,16,Нет хотспота,,
,Админ. Здание (Master Class),10.5.131.50,10.5.131.51,3,+,,
,Гулдер Детский сад,10.5.131.58,10.5.131.59 10.5.131.60,8,Нет хотспота,,
,Гимназия №2 им. Ш. Уалиханова ,10.5.131.66,10.5.131.67 10.5.131.68 10.5.131.69,11,Нет хотспота,,
,Средняя школа №3,10.5.131.74,10.5.131.75 10.5.131.76,12,Нет хотспота,,
,Балдаурен Детский сад,10.5.131.82,10.5.131.83,4,Нет хотспота,,
,Victoria ​Гостиничный комплекс,10.5.131.90,10.5.131.91 10.5.131.92,8,1,+,
